video_id,comments_pulled,avg_comment_sentiment,positive_comment_pct,neutral_comment_pct,negative_comment_pct
-PpIzgbJDQA,50,0.047,0.38,0.24,0.38
04F0ex8JSn8,5,0.4,0.6,0.2,0.2
0CgUf0Pr8o4,25,-0.032,0.36,0.28,0.36
0VgMIw0MiIU,16,0.371875,0.5,0.4375,0.0625
1le07UGVq2A,49,0.376530612244898,0.5102040816326531,0.42857142857142855,0.061224489795918366
25o2VTMo-48,28,0.49107142857142855,0.5357142857142857,0.39285714285714285,0.07142857142857142
2hUV_BjIQiQ,50,0.613,0.5,0.48,0.02
32iDtln2_BY,12,0.14583333333333334,0.4166666666666667,0.08333333333333333,0.5
3P4xksVcNBQ,45,0.32222222222222224,0.4222222222222222,0.4222222222222222,0.15555555555555556
5O9Re0QbEvA,6,0.225,0.5,0.3333333333333333,0.16666666666666666
5cdnDPuOOPc,50,1.502,0.9,0.06,0.04
5ibmx6KYoaU,6,0.425,0.5,0.3333333333333333,0.16666666666666666
7FEI5EuW9pk,9,0.2111111111111111,0.4444444444444444,0.2222222222222222,0.3333333333333333
8T9wY4LsP0I,50,0.717,0.7,0.16,0.14
9mAkaGLWqUo,10,0.2,0.4,0.4,0.2
AM0X3Z4nAhg,50,0.747,0.7,0.28,0.02
ARJ6yxqB43Q,26,0.1826923076923077,0.3076923076923077,0.38461538461538464,0.3076923076923077
BPmvr14I9Oo,25,0.932,0.68,0.24,0.08
CL9f8bd6ilQ,50,0.559,0.58,0.22,0.2
Cy-wVIqe4Eo,9,0.12222222222222222,0.3333333333333333,0.3333333333333333,0.3333333333333333
DuK0_1ILAe8,17,0.4647058823529412,0.47058823529411764,0.47058823529411764,0.058823529411764705
F6RDGpIZp7o,6,0.38333333333333336,0.5,0.5,0
FVQF1FZn_xM,34,0.05147058823529412,0.23529411764705882,0.5,0.2647058823529412
FmjVswNGVxI,19,0.1763157894736842,0.21052631578947367,0.6842105263157895,0.10526315789473684
GrXRmXtzFNI,37,0.40945945945945944,0.5405405405405406,0.3783783783783784,0.08108108108108109
IkoVOfH5l7c,15,0.6866666666666666,0.4666666666666667,0.5333333333333333,0
IxiUCvrhREk,25,0.02200000000000003,0.32,0.44,0.24
K0jthRmQoVg,17,0.1676470588235294,0.35294117647058826,0.47058823529411764,0.17647058823529413
KcqTZbSFZH4,30,-0.26,0.2,0.36666666666666664,0.43333333333333335
KnJVPz0opIA,17,0.2147058823529412,0.47058823529411764,0.4117647058823529,0.11764705882352941
L1ZA1SzSsTE,9,0.1,0.3333333333333333,0.5555555555555556,0.1111111111111111
L3Y5rT9JJow,50,1.1300000000000001,0.68,0.1,0.22
LB9vkoetziM,26,0.4653846153846154,0.5384615384615384,0.3076923076923077,0.15384615384615385
Lx8Tig9-Tak,23,0.19130434782608696,0.43478260869565216,0.34782608695652173,0.21739130434782608
OqP4gj3PrzY,50,0.757,0.64,0.16,0.2
S0Z_d5zEL-A,42,0.1976190476190476,0.3333333333333333,0.5,0.16666666666666666
SyA-1IXD4j0,45,0.8666666666666667,0.7111111111111111,0.17777777777777778,0.1111111111111111
T9ekuvZryKc,16,0.409375,0.5,0.5,0
Ttn--YeN86E,26,0.5692307692307692,0.6153846153846154,0.34615384615384615,0.038461538461538464
Uaw46gbcvzI,37,0.4418918918918919,0.5405405405405406,0.1891891891891892,0.2702702702702703
VwJm53flhBo,50,0.715,0.6,0.24,0.16
WU0KrnYXVI8,21,0.02857142857142857,0.19047619047619047,0.7142857142857143,0.09523809523809523
WWoRxuVncDU,42,0.13214285714285715,0.2619047619047619,0.5714285714285714,0.16666666666666666
XMNTcrmk4j0,49,0.186734693877551,0.40816326530612246,0.32653061224489793,0.2653061224489796
XW9OomMrhd8,50,0.637,0.6,0.38,0.02
YAsYy7rqOHk,46,0.5565217391304348,0.45652173913043476,0.34782608695652173,0.1956521739130435
YT3bf3E1Rjo,16,1.05,0.75,0.25,0
Yzf-NSLgMpI,9,0.3388888888888889,0.5555555555555556,0.3333333333333333,0.1111111111111111
_-pAu0_7BCg,28,-0.017857142857142856,0.25,0.5714285714285714,0.17857142857142858
_5ipSl3LQ1E,20,0.6175,0.55,0.4,0.05
_od_DR7NUVA,9,0.6333333333333333,0.4444444444444444,0.4444444444444444,0.1111111111111111
b1WawnICIhk,13,0.8807692307692307,0.46153846153846156,0.46153846153846156,0.07692307692307693
bM2s3ejZiQg,21,0.06190476190476191,0.23809523809523808,0.6190476190476191,0.14285714285714285
bbVyHwOi92w,50,0.496,0.7,0.2,0.1
bzcC4D-qdOo,50,0.385,0.58,0.32,0.1
caOzhJuSzV0,7,0.45,0.7142857142857143,0.2857142857142857,0
cus65qbLWFQ,13,0.5807692307692308,0.5384615384615384,0.3076923076923077,0.15384615384615385
cwEkOVesf6Q,49,0.6826530612244898,0.5510204081632653,0.32653061224489793,0.12244897959183673
cy6axj2AFQI,10,0.2,0.4,0.6,0
czsEqIzq79s,12,1.5416666666666667,0.8333333333333334,0.16666666666666666,0
dICaX7cjeYQ,50,0.329,0.48,0.18,0.34
eT99SMP9aig,50,0.04700000000000001,0.28,0.38,0.34
f-4fws3zf3A,15,0.6966666666666667,0.8666666666666667,0.06666666666666667,0.06666666666666667
g86K2zEkctQ,17,0.38529411764705884,0.4117647058823529,0.47058823529411764,0.11764705882352941
goLdLac-5fA,14,0.6535714285714286,0.6428571428571429,0.2857142857142857,0.07142857142857142
graazc4GPes,28,0.6803571428571429,0.6428571428571429,0.35714285714285715,0
guT87tvU_ZA,11,0.43636363636363634,0.45454545454545453,0.45454545454545453,0.09090909090909091
