video_id,team,team_abbreviation,conference,channel_name,channel_id,channel_title,video_title,video_description,published_at,published_date,published_hour,published_month,duration,content_type,message_theme,view_count,like_count,comment_count,like_count_clean,comment_count_clean,engagement_count,engagement_rate,likes_per_1k_views,comments_per_1k_views,views_per_day,comments_pulled,avg_comment_sentiment,positive_comment_pct,neutral_comment_pct,negative_comment_pct,sentiment_bucket,monitoring_priority
caOzhJuSzV0,Boston Celtics,BOS,East,Boston Celtics,UCMfT9dr6xC_RIWoA9hI0meQ,Boston Celtics,Neemias Queta 2025-2026 Full Season Highlights,"Neemias Queta put up his best season yet, making his presence known on both ends of the floor and posting career highs across ...",2026-05-22T14:00:19Z,2026-05-22,14,2026-05-01,PT49M7S,Highlights/Recap,General Team Content,1213,76,7,76,7,83,0.06842539159109645,62.65457543281121,5.7708161582852435,80.86666666666666,7,0.45,0.7142857142857143,0.2857142857142857,0,Positive,Standard
5O9Re0QbEvA,Boston Celtics,BOS,East,Boston Celtics,UCMfT9dr6xC_RIWoA9hI0meQ,Boston Celtics,Derrick White FULL SEASON 2025-2026 Highlights,"From winning plays to unreal consistency, Derrick White did a little bit of everything in 25/26. Check out the full season highlights ...",2026-05-20T22:00:04Z,2026-05-20,22,2026-05-01,PT1H17M49S,Highlights/Recap,General Team Content,1049,71,8,71,8,79,0.07530981887511916,67.68350810295519,7.626310772163966,61.705882352941174,6,0.225,0.5,0.3333333333333333,0.16666666666666666,Positive,Standard
IkoVOfH5l7c,Boston Celtics,BOS,East,Boston Celtics,UCMfT9dr6xC_RIWoA9hI0meQ,Boston Celtics,Happy birthday to Celtics Legend Kevin Garnett ☘️ #celtics #nba #shorts,Happy birthday to Celtics Legend Kevin Garnett ☘️ #celtics #nba #shorts.,2026-05-19T14:00:01Z,2026-05-19,14,2026-05-01,PT9S,Shorts,General Team Content,8533,614,16,614,16,630,0.07383100902378999,71.95593577874136,1.8750732450486347,474.05555555555554,15,0.6866666666666666,0.4666666666666667,0.5333333333333333,0,Positive,Standard
guT87tvU_ZA,Boston Celtics,BOS,East,Boston Celtics,UCMfT9dr6xC_RIWoA9hI0meQ,Boston Celtics,Jayson Tatum FULL SEASON 2025-2026 Highlights,"Jayson Tatum's return from injury had an instant impact on the team, making this one of the greatest comebacks in sport history ...",2026-05-18T20:00:06Z,2026-05-18,20,2026-05-01,PT24M21S,Highlights/Recap,Star Player,4031,189,18,189,18,207,0.051352021830811216,46.88662862813197,4.465393202679236,212.1578947368421,11,0.43636363636363634,0.4545454545454546,0.4545454545454546,0.09090909090909093,Positive,Standard
iYrbUMZl2r8,Boston Celtics,BOS,East,Boston Celtics,UCMfT9dr6xC_RIWoA9hI0meQ,Boston Celtics,Top 10 Plays of the season ☘️ #celtics #nba #shorts,Top 10 Plays of the season ☘️ #celtics #nba #shorts.,2026-05-17T13:00:02Z,2026-05-17,13,2026-05-01,PT1M44S,Shorts,General Team Content,14335,1213,40,1213,40,1253,0.08740844087896756,84.6180676665504,2.790373212417161,716.75,34,0.2647058823529412,0.38235294117647056,0.38235294117647056,0.2352941176470588,Positive,Standard
iHM-_WZWb_w,Boston Celtics,BOS,East,Boston Celtics,UCMfT9dr6xC_RIWoA9hI0meQ,Boston Celtics,Jaylen Brown FULL SEASON 2025-2026 Highlights,"Jaylen Brown put together his best season yet, full of significant individual milestones that led to team success Skip to 45:27 to ...",2026-05-17T12:01:08Z,2026-05-17,12,2026-05-01,PT1H57M21S,Highlights/Recap,General Team Content,7639,150,13,150,13,163,0.021337871449142558,19.636078020683335,1.7017934284592224,381.95,13,0.35,0.5384615384615384,0.4615384615384616,0,Positive,Standard
oM9oDWVCF7A,Boston Celtics,BOS,East,Boston Celtics,UCMfT9dr6xC_RIWoA9hI0meQ,Boston Celtics,We surprised Celtics superfans with the perfect gifts for their wedding 💚,"""The Celtics have brought us closer together through the thrill of basketball."" After sending us fan mail about their upcoming ...",2026-05-16T12:01:25Z,2026-05-16,12,2026-05-01,PT59S,Shorts,General Team Content,1124,69,3,69,3,72,0.06405693950177936,61.387900355871885,2.6690391459074734,53.523809523809526,3,0.5,0.3333333333333333,0.6666666666666666,0,Positive,Standard
9mAkaGLWqUo,Boston Celtics,BOS,East,Boston Celtics,UCMfT9dr6xC_RIWoA9hI0meQ,Boston Celtics,Throwin' it back to D-White's 21st for this one 🤣 #celtics #nba #shorts,Throwin' it back to D-White's 21st for this one #celtics #nba #shorts ______ Subscribe Here ...,2026-05-12T19:33:58Z,2026-05-12,19,2026-05-01,PT1M39S,Shorts,General Team Content,6303,476,14,476,14,490,0.07774075836903062,75.51959384420118,2.221164524829446,252.12,10,0.2,0.4,0.4,0.2,Positive,Standard
F6RDGpIZp7o,Boston Celtics,BOS,East,Boston Celtics,UCMfT9dr6xC_RIWoA9hI0meQ,Boston Celtics,Jayson Tatum reconnects with his elementary school music teacher 💚 | The Early Game,"Jayson Tatum always knew he wanted to play basketball, but success on the court couldn't happen without success in the ...",2026-05-09T12:00:24Z,2026-05-09,12,2026-05-01,PT2M49S,Other,Star Player,7521,233,9,233,9,242,0.032176572264326554,30.9799228825954,1.1966493817311528,268.60714285714283,6,0.38333333333333336,0.5,0.5,0,Positive,Standard
uRl42qNGoyc,Los Angeles Lakers,LAL,West,Los Angeles Lakers,UC8CSt-oVqy8pUAoKSApTxQw,Los Angeles Lakers,Celeb row brought out the stars this season ✨ #lakers,"Justin Bieber, Will Ferrell, Laufey, Madison Beer, and other stars lined Celebrity Row at Lakers games during the 2025-26 season.",2026-06-03T00:32:03Z,2026-06-03,0,2026-06-01,PT23S,Shorts,General Team Content,25,2,0,2,0,2,0.08,80,0,8.333333333333334,0,0,0,0,0,Neutral,Standard
K0jthRmQoVg,Los Angeles Lakers,LAL,West,Los Angeles Lakers,UC8CSt-oVqy8pUAoKSApTxQw,Los Angeles Lakers,Counting down Austin’s five TOUGHEST buckets of the season #lakers,"To celebrate Austin's 28th birthday, we look back at some of Austin's best buckets from the Lakers' 2025-26 season. Subscribe for ...",2026-05-29T19:01:26Z,2026-05-29,19,2026-05-01,PT38S,Shorts,General Team Content,11192,327,20,327,20,347,0.031004288777698355,29.217298070050035,1.7869907076483202,1399,17,0.1676470588235294,0.35294117647058826,0.4705882352941176,0.17647058823529413,Positive,Standard
graazc4GPes,Los Angeles Lakers,LAL,West,Los Angeles Lakers,UC8CSt-oVqy8pUAoKSApTxQw,Los Angeles Lakers,7 Minutes of Austin Reaves' TOUGHEST Highlights (2025-26),"To celebrate Austin's 28th birthday, we look back at some of Austin's best buckets and dimes from the Lakers' 2025-26 season.",2026-05-29T18:54:54Z,2026-05-29,18,2026-05-01,PT7M14S,Highlights/Recap,General Team Content,7819,424,37,424,37,461,0.058958946156797545,54.22688323315002,4.732062923647526,977.375,28,0.6803571428571429,0.6428571428571429,0.35714285714285715,0,Positive,Standard
