video_id,comment_id,comment_text,comment_like_count,comment_published_at,team,team_abbreviation,conference,channel_title,video_title,published_at
vD0EHRSfH2I,Ugw_wVzkvRNewcQJMnR4AaABAg,But then he got elimatted in game 7 cause he got injured again.😂✌️🥀,0,2026-06-01T22:15:36Z,Boston Celtics,BOS,East,Boston Celtics,JT&#39;s comeback was greater than the setback 💪 #celtics #nba #shorts,2026-06-01T22:01:01Z
Cy-wVIqe4Eo,Ugwe87sm7O2l_xz7SlJ4AaABAg,Let's go Hugo☘,7,2026-05-30T20:51:36Z,Boston Celtics,BOS,East,Boston Celtics,Hugo Gonzalez FULL SEASON 2025-2026 Highlights,2026-05-30T18:00:10Z
Cy-wVIqe4Eo,UgwRkoekNXoZYBR9BlR4AaABAg,I look forward to his second season. I think Hugo is going to be an excellent player for the Celtics.☘️☘️☘️☘️‼️,9,2026-05-31T00:47:59Z,Boston Celtics,BOS,East,Boston Celtics,Hugo Gonzalez FULL SEASON 2025-2026 Highlights,2026-05-30T18:00:10Z
Cy-wVIqe4Eo,Ugzu3m--_z-iT___ULd4AaABAg,He is. A great defender,3,2026-05-31T16:31:33Z,Boston Celtics,BOS,East,Boston Celtics,Hugo Gonzalez FULL SEASON 2025-2026 Highlights,2026-05-30T18:00:10Z
Cy-wVIqe4Eo,Ugz8qxUrX9N6f6rYCi14AaABAg,Hugo should win rookie of the year,5,2026-05-30T18:56:31Z,Boston Celtics,BOS,East,Boston Celtics,Hugo Gonzalez FULL SEASON 2025-2026 Highlights,2026-05-30T18:00:10Z
Cy-wVIqe4Eo,UgwzojtxqTPv6dKyNil4AaABAg,I think this kid could legit be their long term D-White replacement.  Already has the defensive instincts and even this year you could see some of his offensive potential.,4,2026-05-31T03:12:43Z,Boston Celtics,BOS,East,Boston Celtics,Hugo Gonzalez FULL SEASON 2025-2026 Highlights,2026-05-30T18:00:10Z
Cy-wVIqe4Eo,UgyCpARr2FDaMhZik-14AaABAg,I see alot of  Paul Gasol in his game if he is even the cost rite version of that C's got a steal high energy fundamental big man,4,2026-05-30T22:40:44Z,Boston Celtics,BOS,East,Boston Celtics,Hugo Gonzalez FULL SEASON 2025-2026 Highlights,2026-05-30T18:00:10Z
Cy-wVIqe4Eo,UgzO1ITWRWZ2kejaPBB4AaABAg,Trade someone for Chet Holmgren,0,2026-06-01T08:27:35Z,Boston Celtics,BOS,East,Boston Celtics,Hugo Gonzalez FULL SEASON 2025-2026 Highlights,2026-05-30T18:00:10Z
Cy-wVIqe4Eo,Ugw4gWrQz82LIssIxLh4AaABAg,First,2,2026-05-30T18:00:53Z,Boston Celtics,BOS,East,Boston Celtics,Hugo Gonzalez FULL SEASON 2025-2026 Highlights,2026-05-30T18:00:10Z
Cy-wVIqe4Eo,Ugxtm7PGl5Oddm3LaCV4AaABAg,Who cares - you lost - this team is toxic trash - GROM get rid of Mazzula! ☠️👿💣👎💀🤬🚽🗑️,1,2026-05-31T05:06:29Z,Boston Celtics,BOS,East,Boston Celtics,Hugo Gonzalez FULL SEASON 2025-2026 Highlights,2026-05-30T18:00:10Z
nrY9QsI1h4M,UgwwKMdCW2bWaiXNjiV4AaABAg,☘,3,2026-05-29T10:15:53Z,Boston Celtics,BOS,East,Boston Celtics,Jordan Walsh FULL SEASON 2025-2026 Highlights,2026-05-28T23:00:06Z
nrY9QsI1h4M,UgyWakV3CFq4wxZXkTl4AaABAg,I honestly think that he could have done a little bit better though,0,2026-05-30T21:37:27Z,Boston Celtics,BOS,East,Boston Celtics,Jordan Walsh FULL SEASON 2025-2026 Highlights,2026-05-28T23:00:06Z
nrY9QsI1h4M,Ugw7CmUwkuDUcYTQ3FZ4AaABAg,"Walsh is a great defense/ offense player, works hard",6,2026-05-28T23:49:00Z,Boston Celtics,BOS,East,Boston Celtics,Jordan Walsh FULL SEASON 2025-2026 Highlights,2026-05-28T23:00:06Z
nrY9QsI1h4M,UgzV1UOP6xKoozmHW5F4AaABAg,WALSHY,0,2026-05-29T12:50:51Z,Boston Celtics,BOS,East,Boston Celtics,Jordan Walsh FULL SEASON 2025-2026 Highlights,2026-05-28T23:00:06Z
nrY9QsI1h4M,Ugw94Y1ckngraNTa1ud4AaABAg,"Not a good season, and he is more g League than NBA",1,2026-05-28T23:58:37Z,Boston Celtics,BOS,East,Boston Celtics,Jordan Walsh FULL SEASON 2025-2026 Highlights,2026-05-28T23:00:06Z
jpVaQbN7Tso,UgzpnDnGe8Yj85O1HDB4AaABAg,LET'S GO CELTICS 🍀🏀,1,2026-05-28T16:36:07Z,Boston Celtics,BOS,East,Boston Celtics,Every game tells a story 📖 #celtics #nba #shorts,2026-05-28T14:00:00Z
jpVaQbN7Tso,UgyHYxrC4ZnuvBnkWfN4AaABAg,Yall broke my heart,0,2026-05-29T03:46:27Z,Boston Celtics,BOS,East,Boston Celtics,Every game tells a story 📖 #celtics #nba #shorts,2026-05-28T14:00:00Z
jpVaQbN7Tso,UgwYR13wIt0FvOynpbl4AaABAg,Good season Celtics 🍀🍀🍀🍀🍀🍀🍀🍀🍀🍀🍀🍀🍀🍀🍀🍀,0,2026-05-28T14:20:48Z,Boston Celtics,BOS,East,Boston Celtics,Every game tells a story 📖 #celtics #nba #shorts,2026-05-28T14:00:00Z
